163;HUILE;HD 90 202LT;6 562,50;
164;HUILE;DTE 26 208LT;8 200,00;
165;HUILE;DTE 26 20LT;1 100,00;
166;HUILE;DTE 26 20LT;720,00;
167;GRAISSE;MP2 18KG;720,00;
168;GRAISSE;MP2 18KG;720,00;
169;HUILE;HD 90 20LT;652,00;
170;HUILE;15W40 SUPER 1300 20LT;704,17;
171;CABLE ELECTRIQUE SOUPLE;4X1MM2;6,33;
172;CONFECTION FLEXIBLE;S/M;88,15;
173;DISTRIBUTEUR MANUELLE;3 ELEMENT 95I;4 063,11;
174;MANOMETRE;100 BARS D 100;308,00;
175;MANOMETRE;60 BARS D 100;260,00;
176;CONFECTION FLEXIBLE;"1"" HP LG=0,80 MT-D/C 90°";365,26;
177;RECHARGE CARTE CARBURANT;N°28204236;5 454,55;
178;RECHARGE CARTE CARBURANT;N°2174271;4 545,45;
179;FILTRE HYDRAULIQUE;1202804093;980,00;
180;FILTRE A AIR;2914507700;2 735,00;
181;FILTRE A AIR;2914501800;1 782,75;
182;HUILE;PAROIL E 20L 1615595400;1 750,00;
183;HUILE;PAROIL S 20L 1630016100;5 000,00;
184;CONNECTEUR;4P 10A DROIT M/F PLASTIQUE;126,60;
185;CONNECTEUR;5P 10A DROIT M/F PLASTIQUE;129,60;
186;CONNECTEUR;4P 10A DROIT M/F PLASTIQUE;126,60;
187;CONNECTEUR;5P 10A DROIT M/F PLASTIQUE;129,60;
188;TUBE PEHD;50PN16;14,18;
189;TUBE PEHD;32PN16;5,92;
190;CAPTEUR DE PRESSION;S2/20 Ma 2 FILS 8/30 VCC GM 0/60 BARS;1 500,00;
191;TUBE GALVANISEE;"1"" SERIE 1";68,50;
192;RACCORD PEHD;"50X2"" MALE";92,00;
193;MAMELON;"2"" NOIR EE";46,67;
194;MANCHON;"2"" NOIR EE";47,52;
195;MANCHON PEHD;50X50;58,00;
196;VANNE A BILLE;"1"" SIRAL";325,00;
197;VANNE A BILLE;"2"" SIRAL";458,33;
198;RACCORD PEHD;"50X1""1/2 MALE";58,00;
199;MAMELON;"1""1/2 NOIR EE";20,83;
200;BRIDE;D 960 MM EXT 1500MM EP 5MM;3 431,63;
201;FILTRE A GASOIL;1R0751 CAT;514,94;
202;FILTRE SEPARATEUR GASOIL;5134490 CAT;1 139,68;
203;FILTRE A HUILE;1R1808 CAT;898,94;
204;FILTRE A GASOIL;1R0751 CAT;514,94;
205;FILTRE SEPARATEUR GASOIL;5134490 CAT;1 139,68;
206;FILTRE A HUILE;1R1808 CAT;898,94;
207;HUILE;DTE 26 208LT;8 200,00;
208;CHAUSSURE DE SECURITE;HAUT P40-P41-P42;240,00;
209;SCOTCH NOIR;GM;8,50;
210;SCOTCH D'EMBALLAGE;50X100;13,00;
211;GILET FLUORESCENT;VERT;23,00;
212;GILET FLUORESCENT;ORANGE;23,00;
213;BOTTE;VERT;73,00;
214;CHAUSSURE DE SECURITE;HAUT P40-P41-P42;240,00;
215;COMBINAISON DE TRAVAIL;VESTE ET PANTALLON BONNE QUALITE;170,00;
216;CHAUSSURE DE SECURITE;HAUT P40-P41-P42;240,00;
217;BOTTE;P42-P44-P45;73,00;
218;DISQUE A COUPER;230X3,20;18,00;
219;ELECTRODE;S 2000 3,15;110,00;
220;SCOTCH D'EMBALLAGE;50X100;13,00;
221;RECHARGE CARTE CARBURANT;N°21742711;4 545,45;
222;RECHARGE CARTE CARBURANT;N°28204236;5 454,55;
223;POCHETTE DE JOINT;;1 898,33;
224;COLLE;;51,66;
225;HERMETIQUE;;20,83;
226;FER PLAT;50X3MM EN 6 MT;61,20;
227;CABLE ELECTRIQUE SOUPLE;2X2,5MM2;7,17;
228;CABLE ELECTRIQUE SOUPLE;4X2,5MM2;13,17;
229;RELAIS;14 BROCHES 24V AC;66,67;
230;MARTEAU FOND DE TROU;"3"" DHD 3,5 MINCON";21 800,00;
231;TAILLANT A BOUTON;90 DHD 3,5 MINCON;4 425,00;
232;OBTURATEUR SIMPLE;R 54 LG=1000 MM;4 650,00;
